Order ID,SKU,Product Name,Category,Amount,Status,Date,Customer Name,Customer Email,Pais
4fb0db85-7cde-4a4c-b845-8190adf8b964,14133206,Station Politics,Health,231.57,Shipped,2024-07-20,Catherine Harris,holly70@example.com,Togo
97d3b07e-4f63-4813-9155-179c54e8ce9a,03339985,Truth Particularly,Beauty,268.73,Shipped,2024-03-11,Teresa Young,jessicaroman@example.net,United States Virgin Islands
c88e178a-1c3b-448f-b598-7b66568798cb,06617905,Listen Food,Toys,395.74,Cancelled,2023-10-26,Stephanie Williams,hroberts@example.com,Ghana
27755325-a84d-4b9e-9276-0e849a4235a4,02034003,Keep Easy,Automotive,466.42,Shipped,2024-03-01,Patrick Wilson,danielcarter@example.net,Ghana
fd9f82dd-962a-4942-8dc8-a0b9599fc083,67336203,World Benefit,Books,387.89,Returned,2024-01-13,Corey Taylor,normanhensley@example.net,China
8d9d294e-3012-4cca-b33f-3724c8da32fa,53709523,Thousand Former,Automotive,50.48,Shipped,2024-05-13,Diane White,kristinastafford@example.com,Costa Rica
093845b6-b4d9-4584-adc6-477587eae189,06003791,Remain Indicate,Books,225.0,Pending,2023-12-15,Justin Gutierrez,barrettpeter@example.net,Guinea
e249cff3-9124-4c17-b8b1-cd0f3c349a6b,46116031,Prove Environment,Electronics,426.15,Pending,2024-05-31,Christopher Gonzalez,alison48@example.net,Chile
af49952e-f997-4769-9dd3-24fac6c0e2f8,94682458,Item Policy,Toys,314.79,Shipped,2024-02-02,Katherine Brown,destinyli@example.org,Guadeloupe
a2cb68f1-5a3a-47e0-ade0-901b342c81c3,90120107,Chance Bit,Books,274.21,Pending,2023-11-05,Tracy Garcia,andre68@example.org,Bahamas
3829c407-e9f0-46da-a382-7305360a2aab,79258470,Others Happy,Electronics,371.82,Shipped,2024-07-01,Jerry Johnson,dthomas@example.net,Gabon
8a6810ce-26d5-45e6-9a55-e5c1c9482d76,29212477,Clear Town,Electronics,343.3,Pending,2024-07-04,Amber Simmons,bradley70@example.com,Seychelles
d72dcb50-3913-40dc-8462-44a013e5d2c2,81073351,Democrat Child,Sports,133.17,Shipped,2024-06-02,Aaron Perez,tmartinez@example.org,Iceland
06667d62-9b91-4582-a32b-36b26c8b679a,78085152,Think Race,Health,336.95,Shipped,2024-02-20,Chelsea Davis,ssmith@example.com,China
1ff8248c-e90f-47f4-946a-6837ab088ce2,70249880,Window Mission,Health,278.51,Returned,2024-06-05,Linda Miller,brianguzman@example.net,New Zealand
daaaf24b-4420-40e7-b342-c2a52a21c22f,21586927,Theory Fish,Office Supplies,335.74,Pending,2023-11-11,Raymond Harrison,beasleyolivia@example.org,Finland
64f848bb-00c3-4819-98c0-0cf0adb0ef7a,73108788,Fast Boy,Sports,276.57,Returned,2024-07-20,Jane Riddle,christopher69@example.org,Bangladesh
3b2ccb5a-6a0a-4d0e-b780-2f9ba5b75e77,71639505,Agreement Tree,Clothing,221.91,Shipped,2024-03-29,Gary Stewart,phillipking@example.com,Marshall Islands
f9699938-80fc-45b5-9705-7de216fea0a5,55544863,Especially Pay,Sports,499.8,Shipped,2023-12-16,David Crosby,tdougherty@example.net,Somalia
bb0760b8-8887-4553-b6ee-cf1c96dedbc5,76338113,Because Well,Automotive,65.93,Pending,2024-08-21,Alexander Perez Jr.,klarsen@example.net,Germany
df4f20de-d7bd-4ef9-b2ad-8c28e46999d7,69283635,Through Hope,Beauty,457.91,Returned,2024-05-01,Mary Scott,dixonjohn@example.com,Solomon Islands
a97f0645-93c7-45d3-aa9c-b68dabe0ba8b,07626210,Many Act,Health,96.37,Returned,2024-05-07,Edward Green,dmitchell@example.com,Hong Kong
87b24a75-31af-4571-a84b-21c19516648b,17252676,Resource Yourself,Automotive,132.59,Shipped,2024-03-26,Todd Wright,carolbates@example.org,Switzerland
010fb84e-5757-469a-a632-c4a82268d1f3,32279085,Growth Throw,Books,267.22,Pending,2023-10-22,Julie Quinn,kirk28@example.net,Cambodia
7478cfa1-1c97-4e73-a0f3-634543c2f613,10114780,Long Its,Office Supplies,359.3,Cancelled,2024-02-23,Jon Green,calebolson@example.net,Ukraine
375d9c28-1f81-4598-9399-3c7a5e1b240c,23943698,Continue Song,Office Supplies,443.48,Pending,2024-03-06,Kevin Johnson,mirandaingram@example.com,Spain
ceed40ae-493a-4726-b134-d36bf465dbaf,51581879,Picture Set,Sports,456.7,Pending,2024-04-11,Nicholas Morris,caitlin91@example.org,Cyprus
c007055b-4213-4301-8c02-b5a01d5bcfb5,85647268,Age Majority,Sports,110.91,Cancelled,2023-10-23,Mr. Michael Jimenez,keith59@example.org,Samoa
1dec2cb7-90e6-48f5-9f49-2df22baac2ed,52174827,Professional Cause,Automotive,386.51,Cancelled,2023-11-13,Mark Cochran,mark80@example.com,Andorra
5320cff6-08a9-4abc-88f9-71699d18e58d,79754774,Often Into,Books,147.14,Returned,2024-04-24,Jessica Nelson,owensshelly@example.com,Estonia
